frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.proto,frame.len,tcp.flags,src_port,dst_port,tcp.flags.int,flag_fin,flag_syn,flag_rst,flag_psh,flag_ack,flag_urg,http.request.method,http.request.uri,http.host,data.text
1761394672.524981,44.228.249.3,192.168.1.74,80,23361,0,0,6,60,0x0012,80,23361,18,0,1,0,0,1,0,,,,
1761394672.524981,44.228.249.3,192.168.1.74,80,12009,0,0,6,60,0x0012,80,12009,18,0,1,0,0,1,0,,,,
1761394672.613265,44.228.249.3,192.168.1.74,80,12030,0,0,6,60,0x0012,80,12030,18,0,1,0,0,1,0,,,,
1761394672.613265,44.228.249.3,192.168.1.74,80,60323,0,0,6,60,0x0012,80,60323,18,0,1,0,0,1,0,,,,
1761394672.613265,44.228.249.3,192.168.1.74,80,8465,0,0,6,60,0x0012,80,8465,18,0,1,0,0,1,0,,,,
1761394672.613265,44.228.249.3,192.168.1.74,80,32365,0,0,6,60,0x0012,80,32365,18,0,1,0,0,1,0,,,,
1761394672.613265,44.228.249.3,192.168.1.74,80,2855,0,0,6,60,0x0012,80,2855,18,0,1,0,0,1,0,,,,
1761394672.626077,44.228.249.3,192.168.1.74,80,13641,0,0,6,60,0x0012,80,13641,18,0,1,0,0,1,0,,,,
1761394672.626077,44.228.249.3,192.168.1.74,80,26950,0,0,6,60,0x0012,80,26950,18,0,1,0,0,1,0,,,,
1761394672.626455,44.228.249.3,192.168.1.74,80,40055,0,0,6,60,0x0012,80,40055,18,0,1,0,0,1,0,,,,
1761394672.626455,44.228.249.3,192.168.1.74,80,24426,0,0,6,60,0x0012,80,24426,18,0,1,0,0,1,0,,,,
1761394672.626455,44.228.249.3,192.168.1.74,80,38363,0,0,6,60,0x0012,80,38363,18,0,1,0,0,1,0,,,,
1761394672.62684,44.228.249.3,192.168.1.74,80,28766,0,0,6,60,0x0010,80,28766,16,0,0,0,0,1,0,,,,
1761394672.626991,44.228.249.3,192.168.1.74,80,51433,0,0,6,60,0x0012,80,51433,18,0,1,0,0,1,0,,,,
1761394672.627297,44.228.249.3,192.168.1.74,80,32060,0,0,6,60,0x0012,80,32060,18,0,1,0,0,1,0,,,,
1761394672.627297,44.228.249.3,192.168.1.74,80,44364,0,0,6,60,0x0012,80,44364,18,0,1,0,0,1,0,,,,
1761394672.627556,44.228.249.3,192.168.1.74,80,25120,0,0,6,60,0x0012,80,25120,18,0,1,0,0,1,0,,,,
1761394672.628171,44.228.249.3,192.168.1.74,80,42715,0,0,6,60,0x0012,80,42715,18,0,1,0,0,1,0,,,,
1761394672.628447,44.228.249.3,192.168.1.74,80,24482,0,0,6,60,0x0012,80,24482,18,0,1,0,0,1,0,,,,
1761394672.628447,44.228.249.3,192.168.1.74,80,63272,0,0,6,60,0x0012,80,63272,18,0,1,0,0,1,0,,,,
1761394672.628447,44.228.249.3,192.168.1.74,80,21914,0,0,6,60,0x0012,80,21914,18,0,1,0,0,1,0,,,,
1761394672.628793,44.228.249.3,192.168.1.74,80,4862,0,0,6,60,0x0012,80,4862,18,0,1,0,0,1,0,,,,
1761394672.629007,44.228.249.3,192.168.1.74,80,59566,0,0,6,60,0x0012,80,59566,18,0,1,0,0,1,0,,,,
1761394672.629008,44.228.249.3,192.168.1.74,80,26181,0,0,6,60,0x0012,80,26181,18,0,1,0,0,1,0,,,,
1761394672.629765,44.228.249.3,192.168.1.74,80,32612,0,0,6,60,0x0012,80,32612,18,0,1,0,0,1,0,,,,
1761394672.631423,44.228.249.3,192.168.1.74,80,34168,0,0,6,60,0x0012,80,34168,18,0,1,0,0,1,0,,,,
1761394672.631423,44.228.249.3,192.168.1.74,80,37716,0,0,6,60,0x0012,80,37716,18,0,1,0,0,1,0,,,,
1761394672.631694,44.228.249.3,192.168.1.74,80,59715,0,0,6,60,0x0012,80,59715,18,0,1,0,0,1,0,,,,
1761394672.632107,44.228.249.3,192.168.1.74,80,7722,0,0,6,60,0x0012,80,7722,18,0,1,0,0,1,0,,,,
1761394672.632107,44.228.249.3,192.168.1.74,80,49182,0,0,6,60,0x0012,80,49182,18,0,1,0,0,1,0,,,,
1761394672.632567,44.228.249.3,192.168.1.74,80,4559,0,0,6,60,0x0012,80,4559,18,0,1,0,0,1,0,,,,
1761394672.632567,44.228.249.3,192.168.1.74,80,34052,0,0,6,60,0x0012,80,34052,18,0,1,0,0,1,0,,,,
1761394672.633539,44.228.249.3,192.168.1.74,80,41207,0,0,6,60,0x0012,80,41207,18,0,1,0,0,1,0,,,,
1761394672.633539,44.228.249.3,192.168.1.74,80,40379,0,0,6,60,0x0012,80,40379,18,0,1,0,0,1,0,,,,
1761394672.634016,44.228.249.3,192.168.1.74,80,26062,0,0,6,60,0x0012,80,26062,18,0,1,0,0,1,0,,,,
1761394672.634016,44.228.249.3,192.168.1.74,80,11038,0,0,6,60,0x0012,80,11038,18,0,1,0,0,1,0,,,,
1761394672.634017,44.228.249.3,192.168.1.74,80,7437,0,0,6,60,0x0012,80,7437,18,0,1,0,0,1,0,,,,
1761394672.634017,44.228.249.3,192.168.1.74,80,37133,0,0,6,60,0x0012,80,37133,18,0,1,0,0,1,0,,,,
1761394672.634701,44.228.249.3,192.168.1.74,80,58515,0,0,6,60,0x0012,80,58515,18,0,1,0,0,1,0,,,,
1761394672.634701,44.228.249.3,192.168.1.74,80,52412,0,0,6,60,0x0012,80,52412,18,0,1,0,0,1,0,,,,
1761394672.635108,44.228.249.3,192.168.1.74,80,52144,0,0,6,60,0x0012,80,52144,18,0,1,0,0,1,0,,,,
1761394672.635108,44.228.249.3,192.168.1.74,80,35333,0,0,6,60,0x0012,80,35333,18,0,1,0,0,1,0,,,,
1761394672.635518,44.228.249.3,192.168.1.74,80,46410,0,0,6,60,0x0012,80,46410,18,0,1,0,0,1,0,,,,
1761394672.636034,44.228.249.3,192.168.1.74,80,686,0,0,6,60,0x0012,80,686,18,0,1,0,0,1,0,,,,
1761394672.636226,44.228.249.3,192.168.1.74,80,5855,0,0,6,60,0x0012,80,5855,18,0,1,0,0,1,0,,,,
1761394672.63657,44.228.249.3,192.168.1.74,80,59817,0,0,6,60,0x0012,80,59817,18,0,1,0,0,1,0,,,,
1761394672.636968,44.228.249.3,192.168.1.74,80,37523,0,0,6,60,0x0012,80,37523,18,0,1,0,0,1,0,,,,
1761394672.63697,44.228.249.3,192.168.1.74,80,13139,0,0,6,60,0x0012,80,13139,18,0,1,0,0,1,0,,,,
1761394672.63697,44.228.249.3,192.168.1.74,80,11006,0,0,6,60,0x0012,80,11006,18,0,1,0,0,1,0,,,,
1761394672.637556,44.228.249.3,192.168.1.74,80,30752,0,0,6,60,0x0012,80,30752,18,0,1,0,0,1,0,,,,
1761394672.637556,44.228.249.3,192.168.1.74,80,63693,0,0,6,60,0x0012,80,63693,18,0,1,0,0,1,0,,,,
1761394672.637556,44.228.249.3,192.168.1.74,80,46456,0,0,6,60,0x0012,80,46456,18,0,1,0,0,1,0,,,,
1761394672.638173,44.228.249.3,192.168.1.74,80,41478,0,0,6,60,0x0012,80,41478,18,0,1,0,0,1,0,,,,
1761394672.638824,44.228.249.3,192.168.1.74,80,25029,0,0,6,60,0x0012,80,25029,18,0,1,0,0,1,0,,,,
1761394672.638824,44.228.249.3,192.168.1.74,80,39318,0,0,6,60,0x0012,80,39318,18,0,1,0,0,1,0,,,,
1761394672.638824,44.228.249.3,192.168.1.74,80,20271,0,0,6,60,0x0012,80,20271,18,0,1,0,0,1,0,,,,
1761394672.639258,44.228.249.3,192.168.1.74,80,44670,0,0,6,60,0x0012,80,44670,18,0,1,0,0,1,0,,,,
1761394672.639258,44.228.249.3,192.168.1.74,80,23926,0,0,6,60,0x0012,80,23926,18,0,1,0,0,1,0,,,,
1761394672.639589,44.228.249.3,192.168.1.74,80,25067,0,0,6,60,0x0012,80,25067,18,0,1,0,0,1,0,,,,
1761394672.639589,44.228.249.3,192.168.1.74,80,37795,0,0,6,60,0x0012,80,37795,18,0,1,0,0,1,0,,,,
1761394672.639589,44.228.249.3,192.168.1.74,80,31231,0,0,6,60,0x0012,80,31231,18,0,1,0,0,1,0,,,,
1761394672.641993,44.228.249.3,192.168.1.74,80,60652,0,0,6,60,0x0012,80,60652,18,0,1,0,0,1,0,,,,
1761394672.641994,44.228.249.3,192.168.1.74,80,50916,0,0,6,60,0x0012,80,50916,18,0,1,0,0,1,0,,,,
1761394672.641994,44.228.249.3,192.168.1.74,80,3775,0,0,6,60,0x0012,80,3775,18,0,1,0,0,1,0,,,,
1761394672.641994,44.228.249.3,192.168.1.74,80,40835,0,0,6,60,0x0012,80,40835,18,0,1,0,0,1,0,,,,
1761394672.641994,44.228.249.3,192.168.1.74,80,38843,0,0,6,60,0x0012,80,38843,18,0,1,0,0,1,0,,,,
1761394672.641994,44.228.249.3,192.168.1.74,80,15173,0,0,6,60,0x0012,80,15173,18,0,1,0,0,1,0,,,,
1761394672.641994,44.228.249.3,192.168.1.74,80,61485,0,0,6,60,0x0010,80,61485,16,0,0,0,0,1,0,,,,
1761394672.641994,44.228.249.3,192.168.1.74,80,2724,0,0,6,60,0x0012,80,2724,18,0,1,0,0,1,0,,,,
1761394672.642682,44.228.249.3,192.168.1.74,80,4518,0,0,6,60,0x0012,80,4518,18,0,1,0,0,1,0,,,,
1761394672.642682,44.228.249.3,192.168.1.74,80,24246,0,0,6,60,0x0012,80,24246,18,0,1,0,0,1,0,,,,
1761394672.642943,44.228.249.3,192.168.1.74,80,25107,0,0,6,60,0x0012,80,25107,18,0,1,0,0,1,0,,,,
1761394672.64364,44.228.249.3,192.168.1.74,80,25124,0,0,6,60,0x0012,80,25124,18,0,1,0,0,1,0,,,,
1761394672.64364,44.228.249.3,192.168.1.74,80,26666,0,0,6,60,0x0012,80,26666,18,0,1,0,0,1,0,,,,
1761394672.64364,44.228.249.3,192.168.1.74,80,53256,0,0,6,60,0x0012,80,53256,18,0,1,0,0,1,0,,,,
1761394672.644056,44.228.249.3,192.168.1.74,80,53074,0,0,6,60,0x0012,80,53074,18,0,1,0,0,1,0,,,,
1761394672.644554,44.228.249.3,192.168.1.74,80,25457,0,0,6,60,0x0012,80,25457,18,0,1,0,0,1,0,,,,
