frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.proto,frame.len,tcp.flags,src_port,dst_port,tcp.flags.int,flag_fin,flag_syn,flag_rst,flag_psh,flag_ack,flag_urg,http.request.method,http.request.uri,http.host,data.text
1759430433.099318,44.228.249.3,192.168.110.128,80,48350,0,0,6,60,0x0004,80,48350,4,0,0,1,0,0,0,,,,
1759430433.344687,44.228.249.3,192.168.110.128,0,0,0,0,1,60,,0,0,0,0,0,0,0,0,0,,,,
1759430434.474615,44.228.249.3,192.168.110.128,80,48611,0,0,6,60,0x0004,80,48611,4,0,0,1,0,0,0,,,,
1759430434.616811,44.228.249.3,192.168.110.128,80,48606,0,0,6,60,0x0012,80,48606,18,0,1,0,0,1,0,,,,
1759430434.725659,44.228.249.3,192.168.110.128,80,48608,0,0,6,60,0x0012,80,48608,18,0,1,0,0,1,0,,,,
1759430436.525357,44.228.249.3,192.168.110.128,80,48613,0,0,6,60,0x0004,80,48613,4,0,0,1,0,0,0,,,,
1759430437.776394,44.228.249.3,192.168.110.128,80,48615,0,0,6,60,0x0004,80,48615,4,0,0,1,0,0,0,,,,
1759430439.256095,44.228.249.3,192.168.110.128,80,48617,0,0,6,60,0x0004,80,48617,4,0,0,1,0,0,0,,,,
1759430440.561836,44.228.249.3,192.168.110.128,80,48619,0,0,6,60,0x0004,80,48619,4,0,0,1,0,0,0,,,,
1759430442.009602,44.228.249.3,192.168.110.128,80,48621,0,0,6,60,0x0004,80,48621,4,0,0,1,0,0,0,,,,
1759430460.9616,44.228.249.3,192.168.110.128,443,48350,0,0,6,60,0x0014,443,48350,20,0,0,1,0,1,0,,,,
1759430460.96165,44.228.249.3,192.168.110.128,199,48606,0,0,6,60,0x0014,199,48606,20,0,0,1,0,1,0,,,,
1759430460.96184,44.228.249.3,192.168.110.128,1723,48606,0,0,6,60,0x0014,1723,48606,20,0,0,1,0,1,0,,,,
1759430460.961841,44.228.249.3,192.168.110.128,8888,48606,0,0,6,60,0x0014,8888,48606,20,0,0,1,0,1,0,,,,
1759430460.961842,44.228.249.3,192.168.110.128,111,48606,0,0,6,60,0x0014,111,48606,20,0,0,1,0,1,0,,,,
1759430460.961898,44.228.249.3,192.168.110.128,995,48606,0,0,6,60,0x0014,995,48606,20,0,0,1,0,1,0,,,,
1759430460.9619,44.228.249.3,192.168.110.128,8080,48606,0,0,6,60,0x0014,8080,48606,20,0,0,1,0,1,0,,,,
1759430460.961901,44.228.249.3,192.168.110.128,587,48606,0,0,6,60,0x0014,587,48606,20,0,0,1,0,1,0,,,,
1759430460.961902,44.228.249.3,192.168.110.128,22,48606,0,0,6,60,0x0014,22,48606,20,0,0,1,0,1,0,,,,
1759430460.961902,44.228.249.3,192.168.110.128,21,48606,0,0,6,60,0x0014,21,48606,20,0,0,1,0,1,0,,,,
1759430460.961903,44.228.249.3,192.168.110.128,256,48606,0,0,6,60,0x0014,256,48606,20,0,0,1,0,1,0,,,,
1759430460.961904,44.228.249.3,192.168.110.128,1723,48608,0,0,6,60,0x0014,1723,48608,20,0,0,1,0,1,0,,,,
1759430460.961905,44.228.249.3,192.168.110.128,995,48608,0,0,6,60,0x0014,995,48608,20,0,0,1,0,1,0,,,,
1759430460.961945,44.228.249.3,192.168.110.128,22,48608,0,0,6,60,0x0014,22,48608,20,0,0,1,0,1,0,,,,
1759430460.961946,44.228.249.3,192.168.110.128,8888,48608,0,0,6,60,0x0014,8888,48608,20,0,0,1,0,1,0,,,,
