frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.proto,frame.len,tcp.flags
1761394672.524981000,44.228.249.3,192.168.1.74,80,23361,,,6,60,0x0012
1761394672.524981000,44.228.249.3,192.168.1.74,80,12009,,,6,60,0x0012
1761394672.613265000,44.228.249.3,192.168.1.74,80,12030,,,6,60,0x0012
1761394672.613265000,44.228.249.3,192.168.1.74,80,60323,,,6,60,0x0012
1761394672.613265000,44.228.249.3,192.168.1.74,80,8465,,,6,60,0x0012
1761394672.613265000,44.228.249.3,192.168.1.74,80,32365,,,6,60,0x0012
1761394672.613265000,44.228.249.3,192.168.1.74,80,2855,,,6,60,0x0012
1761394672.626077000,44.228.249.3,192.168.1.74,80,13641,,,6,60,0x0012
1761394672.626077000,44.228.249.3,192.168.1.74,80,26950,,,6,60,0x0012
1761394672.626455000,44.228.249.3,192.168.1.74,80,40055,,,6,60,0x0012
1761394672.626455000,44.228.249.3,192.168.1.74,80,24426,,,6,60,0x0012
1761394672.626455000,44.228.249.3,192.168.1.74,80,38363,,,6,60,0x0012
1761394672.626840000,44.228.249.3,192.168.1.74,80,28766,,,6,60,0x0010
1761394672.626991000,44.228.249.3,192.168.1.74,80,51433,,,6,60,0x0012
1761394672.627297000,44.228.249.3,192.168.1.74,80,32060,,,6,60,0x0012
1761394672.627297000,44.228.249.3,192.168.1.74,80,44364,,,6,60,0x0012
1761394672.627556000,44.228.249.3,192.168.1.74,80,25120,,,6,60,0x0012
1761394672.628171000,44.228.249.3,192.168.1.74,80,42715,,,6,60,0x0012
1761394672.628447000,44.228.249.3,192.168.1.74,80,24482,,,6,60,0x0012
1761394672.628447000,44.228.249.3,192.168.1.74,80,63272,,,6,60,0x0012
1761394672.628447000,44.228.249.3,192.168.1.74,80,21914,,,6,60,0x0012
1761394672.628793000,44.228.249.3,192.168.1.74,80,4862,,,6,60,0x0012
1761394672.629007000,44.228.249.3,192.168.1.74,80,59566,,,6,60,0x0012
1761394672.629008000,44.228.249.3,192.168.1.74,80,26181,,,6,60,0x0012
1761394672.629765000,44.228.249.3,192.168.1.74,80,32612,,,6,60,0x0012
1761394672.631423000,44.228.249.3,192.168.1.74,80,34168,,,6,60,0x0012
1761394672.631423000,44.228.249.3,192.168.1.74,80,37716,,,6,60,0x0012
1761394672.631694000,44.228.249.3,192.168.1.74,80,59715,,,6,60,0x0012
1761394672.632107000,44.228.249.3,192.168.1.74,80,7722,,,6,60,0x0012
1761394672.632107000,44.228.249.3,192.168.1.74,80,49182,,,6,60,0x0012
1761394672.632567000,44.228.249.3,192.168.1.74,80,4559,,,6,60,0x0012
1761394672.632567000,44.228.249.3,192.168.1.74,80,34052,,,6,60,0x0012
1761394672.633539000,44.228.249.3,192.168.1.74,80,41207,,,6,60,0x0012
1761394672.633539000,44.228.249.3,192.168.1.74,80,40379,,,6,60,0x0012
1761394672.634016000,44.228.249.3,192.168.1.74,80,26062,,,6,60,0x0012
1761394672.634016000,44.228.249.3,192.168.1.74,80,11038,,,6,60,0x0012
1761394672.634017000,44.228.249.3,192.168.1.74,80,7437,,,6,60,0x0012
1761394672.634017000,44.228.249.3,192.168.1.74,80,37133,,,6,60,0x0012
1761394672.634701000,44.228.249.3,192.168.1.74,80,58515,,,6,60,0x0012
1761394672.634701000,44.228.249.3,192.168.1.74,80,52412,,,6,60,0x0012
1761394672.635108000,44.228.249.3,192.168.1.74,80,52144,,,6,60,0x0012
1761394672.635108000,44.228.249.3,192.168.1.74,80,35333,,,6,60,0x0012
1761394672.635518000,44.228.249.3,192.168.1.74,80,46410,,,6,60,0x0012
1761394672.636034000,44.228.249.3,192.168.1.74,80,686,,,6,60,0x0012
1761394672.636226000,44.228.249.3,192.168.1.74,80,5855,,,6,60,0x0012
1761394672.636570000,44.228.249.3,192.168.1.74,80,59817,,,6,60,0x0012
1761394672.636968000,44.228.249.3,192.168.1.74,80,37523,,,6,60,0x0012
1761394672.636970000,44.228.249.3,192.168.1.74,80,13139,,,6,60,0x0012
1761394672.636970000,44.228.249.3,192.168.1.74,80,11006,,,6,60,0x0012
1761394672.637556000,44.228.249.3,192.168.1.74,80,30752,,,6,60,0x0012
1761394672.637556000,44.228.249.3,192.168.1.74,80,63693,,,6,60,0x0012
1761394672.637556000,44.228.249.3,192.168.1.74,80,46456,,,6,60,0x0012
1761394672.638173000,44.228.249.3,192.168.1.74,80,41478,,,6,60,0x0012
1761394672.638824000,44.228.249.3,192.168.1.74,80,25029,,,6,60,0x0012
1761394672.638824000,44.228.249.3,192.168.1.74,80,39318,,,6,60,0x0012
1761394672.638824000,44.228.249.3,192.168.1.74,80,20271,,,6,60,0x0012
1761394672.639258000,44.228.249.3,192.168.1.74,80,44670,,,6,60,0x0012
1761394672.639258000,44.228.249.3,192.168.1.74,80,23926,,,6,60,0x0012
1761394672.639589000,44.228.249.3,192.168.1.74,80,25067,,,6,60,0x0012
1761394672.639589000,44.228.249.3,192.168.1.74,80,37795,,,6,60,0x0012
1761394672.639589000,44.228.249.3,192.168.1.74,80,31231,,,6,60,0x0012
