frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.proto,frame.len,tcp.flags
1759430433.099318000,44.228.249.3,192.168.110.128,80,48350,,,6,60,0x0004
1759430433.344687000,44.228.249.3,192.168.110.128,,,,,1,60,
1759430434.474615000,44.228.249.3,192.168.110.128,80,48611,,,6,60,0x0004
1759430434.616811000,44.228.249.3,192.168.110.128,80,48606,,,6,60,0x0012
1759430434.725659000,44.228.249.3,192.168.110.128,80,48608,,,6,60,0x0012
1759430436.525357000,44.228.249.3,192.168.110.128,80,48613,,,6,60,0x0004
1759430437.776394000,44.228.249.3,192.168.110.128,80,48615,,,6,60,0x0004
1759430439.256095000,44.228.249.3,192.168.110.128,80,48617,,,6,60,0x0004
1759430440.561836000,44.228.249.3,192.168.110.128,80,48619,,,6,60,0x0004
1759430442.009602000,44.228.249.3,192.168.110.128,80,48621,,,6,60,0x0004
1759430460.961600000,44.228.249.3,192.168.110.128,443,48350,,,6,60,0x0014
1759430460.961650000,44.228.249.3,192.168.110.128,199,48606,,,6,60,0x0014
1759430460.961840000,44.228.249.3,192.168.110.128,1723,48606,,,6,60,0x0014
1759430460.961841000,44.228.249.3,192.168.110.128,8888,48606,,,6,60,0x0014
1759430460.961842000,44.228.249.3,192.168.110.128,111,48606,,,6,60,0x0014
1759430460.961898000,44.228.249.3,192.168.110.128,995,48606,,,6,60,0x0014
1759430460.961900000,44.228.249.3,192.168.110.128,8080,48606,,,6,60,0x0014
1759430460.961901000,44.228.249.3,192.168.110.128,587,48606,,,6,60,0x0014
1759430460.961902000,44.228.249.3,192.168.110.128,22,48606,,,6,60,0x0014
1759430460.961902000,44.228.249.3,192.168.110.128,21,48606,,,6,60,0x0014
1759430460.961903000,44.228.249.3,192.168.110.128,256,48606,,,6,60,0x0014
1759430460.961904000,44.228.249.3,192.168.110.128,1723,48608,,,6,60,0x0014
1759430460.961905000,44.228.249.3,192.168.110.128,995,48608,,,6,60,0x0014
1759430460.961945000,44.228.249.3,192.168.110.128,22,48608,,,6,60,0x0014
1759430460.961946000,44.228.249.3,192.168.110.128,8888,48608,,,6,60,0x0014
1759430460.961961000,44.228.249.3,192.168.110.128,587,48608,,,6,60,0x0014
1759430460.961969000,44.228.249.3,192.168.110.128,199,48608,,,6,60,0x0014
1759430460.961970000,44.228.249.3,192.168.110.128,8080,48608,,,6,60,0x0014
1759430460.962008000,44.228.249.3,192.168.110.128,21,48608,,,6,60,0x0014
1759430460.962009000,44.228.249.3,192.168.110.128,256,48608,,,6,60,0x0014
1759430460.962010000,44.228.249.3,192.168.110.128,111,48608,,,6,60,0x0014
1759430460.962011000,44.228.249.3,192.168.110.128,135,48606,,,6,60,0x0014
1759430460.962012000,44.228.249.3,192.168.110.128,3389,48606,,,6,60,0x0014
1759430460.962020000,44.228.249.3,192.168.110.128,3306,48606,,,6,60,0x0014
1759430460.962021000,44.228.249.3,192.168.110.128,5900,48606,,,6,60,0x0014
1759430460.962056000,44.228.249.3,192.168.110.128,143,48606,,,6,60,0x0014
1759430460.962094000,44.228.249.3,192.168.110.128,23,48606,,,6,60,0x0014
1759430460.962095000,44.228.249.3,192.168.110.128,113,48606,,,6,60,0x0014
1759430460.962096000,44.228.249.3,192.168.110.128,993,48606,,,6,60,0x0014
1759430479.908535000,44.228.249.3,192.168.110.128,912,48606,,,6,60,0x0014
1759430479.908546000,44.228.249.3,192.168.110.128,6005,48606,,,6,60,0x0014
1759430479.908558000,44.228.249.3,192.168.110.128,3325,48606,,,6,60,0x0014
1759430479.908559000,44.228.249.3,192.168.110.128,3737,48606,,,6,60,0x0014
